,Model,Anaphor agreement,Argument structure,Binding,Case,Determiner-noun agreement,Ellipsis,Filler-gap,Irregular,Island effects,Local_attractor,Npi licensing,Quantifiers,Subject-verb agreement,scoring_method,Overall
13,RoBERTa-base+AO-CHILDES,60.050000000000004,63.883333333333326,60.4,77.60000000000001,60.35000000000001,51.949999999999996,61.825,68.65,55.825,65.35,52.175,46.525000000000006,58.474999999999994,holistic,60.23525641025641
9,RoBERTa-base+AO-CHILDES,58.85,64.75,78.10000000000001,82.55,60.875,52.849999999999994,67.2,65.25,53.95,67.85,38.075,47.525,56.900000000000006,holistic,61.13269230769231
17,RoBERTa-base+Warstadt2020,63.800000000000004,51.15,93.45,81.2,74.975,75.8,67.22500000000001,87.55,62.375,63.449999999999996,32.625,44.425,59.087500000000006,holistic,65.93173076923077
21,RoBERTa-base+Warstadt2020,69.69999999999999,65.73333333333333,82.35,95.65,73.725,62.2,70.475,78.3,57.224999999999994,77.64999999999999,46.400000000000006,48.125,56.7,holistic,68.01794871794871
5,RoBERTa-base+Warstadt2020,71.65,61.11666666666665,83.95,90.60000000000001,76.67500000000001,67.80000000000001,69.725,79.85,61.175000000000004,64.14999999999999,56.125,47.825,55.0125,holistic,68.12724358974359
23,RoBERTa-base+Wikipedia-1,64.95,62.76666666666667,91.0,74.9,80.175,67.0,81.625,77.7,51.00000000000001,60.95,69.325,67.275,71.6875,holistic,70.79647435897436
25,BabyBERTa+AO-CHILDES,51.15,80.55000000000001,81.3,95.95,89.92500000000001,59.5,87.85,65.5,70.9,98.65,56.275,54.875,75.875,holistic,74.48461538461538
7,BabyBERTa+AO-CHILDES,50.74999999999999,78.9,77.25,99.0,91.65,42.9,93.8,71.0,61.925000000000004,89.55,70.67500000000001,83.475,79.375,holistic,76.17307692307692
15,BabyBERTa+AO-CHILDES,52.25,76.78333333333333,85.05,98.0,87.67500000000001,52.400000000000006,83.125,64.7,68.825,95.15,81.075,75.85,77.2875,holistic,76.7823717948718
1,BabyBERTa+AO-CHILDES,50.05,79.11666666666666,80.7,95.89999999999999,89.475,56.05,91.6,70.05,77.125,94.69999999999999,66.0,75.25,76.56250000000001,holistic,77.12147435897435
19,BabyBERTa+AO-CHILDES,52.1,79.68333333333332,81.25,93.75,90.125,56.05,84.65,71.35000000000001,72.19999999999999,97.05,88.375,75.575,76.1,holistic,78.3275641025641
3,BabyBERTa+AO-CHILDES,51.24999999999999,81.13333333333333,85.7,94.25,91.15,58.35,89.75,72.1,66.47500000000001,95.35,87.9,80.175,78.025,holistic,79.35448717948718
11,RoBERTa-base+Liu2019,88.94999999999999,60.550000000000004,89.64999999999999,79.0,88.225,80.35,86.275,93.60000000000001,62.875,90.85,84.05000000000001,83.675,87.4625,holistic,82.73173076923078
